"Fecha","Último","Apertura","Máximo","Mínimo","% var."
"19.01.2022","3,8554","3,8681","3,8749","3,8573","-0,11%"
"18.01.2022","3,8597","3,8584","3,8687","3,8382","0,45%"
"17.01.2022","3,8424","3,8705","3,8772","3,8433","-0,61%"
"14.01.2022","3,8660","3,8900","3,8974","3,8675","-0,54%"
"13.01.2022","3,8870","3,9014","3,9081","3,8846","0,07%"
"12.01.2022","3,8844","3,9090","3,9165","3,8826","-0,29%"
"11.01.2022","3,8956","3,9384","3,9431","3,9018","-0,64%"
"10.01.2022","3,9207","3,9365","3,9434","3,9154","-0,31%"
"07.01.2022","3,9329","3,9680","3,9766","3,9251","-0,57%"
"06.01.2022","3,9555","3,9605","3,9794","3,9556","0,07%"
"05.01.2022","3,9529","3,9630","3,9702","3,9390","0,19%"
"04.01.2022","3,9456","3,9630","3,9786","3,9478","-0,71%"
"03.01.2022","3,9740","3,9905","4,0029","3,9800","-0,28%"
